Time (s);USB Avg Current (mA);;;;;Tempo norm (s);Corrente pico (mA)
1822.3118;29.491;;;;;0,28;29,864
1822.3120;28.694;;;;;0,281;29,806
1822.3122;28.828;;;;;0,282;29,824
1822.3124;29.571;;;;;0,283;29,805
1822.3126;28.689;;;;;0,284;29,837
1822.3128;29.497;;;;;0,285;29,802
1822.3130;28.736;;;;;0,286;29,801
1822.3132;28.799;;;;;0,287;29,682
1822.3134;29.637;;;;;0,288;29,702
1822.3136;28.727;;;;;0,289;29,718
1822.3138;29.513;;;;;0,29;29,701
1822.3140;28.674;;;;;0,291;29,646
1822.3142;28.844;;;;;0,292;29,679
1822.3144;29.605;;;;;0,293;29,521
1822.3146;28.637;;;;;0,294;29,571
1822.3148;29.532;;;;;0,295;29,582
1822.3150;28.655;;;;;0,296;29,581
1822.3152;28.845;;;;;0,297;29,542
1822.3154;29.524;;;;;0,298;29,582
1822.3156;28.695;;;;;0,299;29,479
1822.3158;29.528;;;;;0,3;29,582
1822.3160;28.757;;;;;0,301;29,511
1822.3162;28.86;;;;;0,302;29,491
1822.3164;29.489;;;;;0,303;29,605
1822.3166;28.725;;;;;0,304;29,583
1822.3168;29.528;;;;;0,305;29,587
1822.3170;28.698;;;;;0,306;29,547
1822.3172;28.886;;;;;0,307;29,651
1822.3174;29.438;;;;;0,308;29,566
1822.3176;28.787;;;;;0,309;29,573
1822.3178;29.518;;;;;0,31;29,575
1822.3180;28.723;;;;;0,311;29,569
1822.3182;28.874;;;;;0,312;29,477
1822.3184;29.494;;;;;0,313;29,509
1822.3186;28.705;;;;;0,314;29,521
1822.3188;29.503;;;;;0,315;29,558
1822.3190;28.713;;;;;0,316;29,477
1822.3192;28.913;;;;;0,317;29,527
1822.3194;29.471;;;;;0,318;29,584
1822.3196;28.69;;;;;0,319;29,533
1822.3198;29.521;;;;;0,32;29,602
1822.3200;28.771;;;;;0,321;29,626
1822.3202;29.061;;;;;0,322;29,585
1822.3204;29.262;;;;;0,323;29,521
1822.3206;28.747;;;;;0,324;29,522
1822.3208;29.577;;;;;0,325;29,492
1822.3210;28.706;;;;;0,326;29,459
1822.3212;29.027;;;;;0,327;29,541
1822.3214;29.378;;;;;0,328;29,582
1822.3216;28.767;;;;;0,329;29,666
1822.3218;29.541;;;;;0,33;29,599
1822.3220;28.729;;;;;0,331;29,596
1822.3222;29.022;;;;;0,332;29,632
1822.3224;29.365;;;;;0,333;29,608
1822.3226;28.749;;;;;0,334;29,606
1822.3228;29.588;;;;;0,335;29,675
1822.3230;28.665;;;;;0,336;29,684
1822.3232;29.076;;;;;0,337;29,674
1822.3234;29.271;;;;;0,338;29,645
1822.3236;28.721;;;;;0,339;29,717
1822.3238;29.521;;;;;0,34;29,746
1822.3240;28.676;;;;;0,341;29,696
1822.3242;29.046;;;;;0,342;29,681
1822.3244;29.275;;;;;0,343;29,689
1822.3246;29.579;;;;;0,344;29,762
1822.3248;28.739;;;;;0,345;29,738
1822.3250;29.075;;;;;0,346;29,809
1822.3252;29.336;;;;;0,347;29,756
1822.3254;28.75;;;;;0,348;29,732
1822.3256;29.594;;;;;0,349;29,765
1822.3258;28.781;;;;;0,35;29,772
1822.3260;29.08;;;;;0,351;29,751
1822.3262;29.332;;;;;0,352;29,781
1822.3264;28.716;;;;;0,353;29,743
1822.3266;29.575;;;;;0,354;29,771
1822.3268;28.637;;;;;0,355;29,795
1822.3270;29.183;;;;;0,356;29,77
1822.3272;29.19;;;;;0,357;29,773
1822.3274;28.688;;;;;0,358;29,796
1822.3276;29.574;;;;;0,359;29,789
1822.3278;28.655;;;;;0,36;29,756
1822.3280;29.164;;;;;0,361;29,819
1822.3282;29.226;;;;;0,362;29,762
1822.3284;28.717;;;;;0,363;29,828
1822.3286;29.563;;;;;0,364;29,84
1822.3288;28.771;;;;;0,365;29,825
1822.3290;29.188;;;;;0,366;29,807
1822.3292;29.226;;;;;0,367;29,81
1822.3294;28.726;;;;;0,368;29,843
1822.3296;29.541;;;;;0,369;29,813
1822.3298;28.752;;;;;0,37;29,798
1822.3300;29.19;;;;;0,371;29,815
1822.3302;29.195;;;;;0,372;29,894
1822.3304;28.666;;;;;0,373;29,819
1822.3306;29.51;;;;;0,374;29,848
1822.3308;28.727;;;;;0,375;29,822
1822.3310;29.251;;;;;0,376;29,868
1822.3312;29.196;;;;;0,377;29,822
1822.3314;28.676;;;;;0,378;29,803
1822.3316;29.528;;;;;0,379;29,837
1822.3318;28.71;;;;;0,38;29,818
1822.3320;29.223;;;;;0,381;29,9
1822.3322;29.193;;;;;0,382;29,872
1822.3324;28.72;;;;;0,383;29,864
1822.3326;29.57;;;;;0,384;29,851
1822.3328;28.782;;;;;0,385;29,875
1822.3330;29.27;;;;;0,386;29,927
1822.3332;29.143;;;;;0,387;29,91
1822.3334;28.735;;;;;0,388;29,898
1822.3336;29.44;;;;;0,389;29,861
1822.3338;28.698;;;;;0,39;29,864
1822.3340;29.333;;;;;0,391;29,861
1822.3342;29.082;;;;;0,392;29,906
1822.3344;28.703;;;;;0,393;29,884
1822.3346;29.486;;;;;0,394;29,902
1822.3348;28.621;;;;;0,395;29,887
1822.3350;29.316;;;;;0,396;29,857
1822.3352;29.079;;;;;0,397;29,903
1822.3354;28.682;;;;;0,398;29,844
1822.3356;29.522;;;;;0,399;29,849
1822.3358;28.681;;;;;0,4;29,819
1822.3360;29.313;;;;;0,401;29,894
1822.3362;29.109;;;;;0,402;29,918
1822.3364;28.646;;;;;0,403;29,884
1822.3366;29.518;;;;;0,404;29,848
1822.3368;28.626;;;;;0,405;29,836
1822.3370;29.466;;;;;0,406;29,899
1822.3372;29.096;;;;;0,407;29,928
1822.3374;28.761;;;;;0,408;29,92
1822.3376;29.579;;;;;0,409;29,94
1822.3378;28.698;;;;;0,41;29,875
1822.3380;29.425;;;;;0,411;29,883
1822.3382;29.145;;;;;0,412;29,854
1822.3384;28.664;;;;;0,413;29,899
1822.3386;29.56;;;;;0,414;29,977
1822.3388;28.711;;;;;0,415;29,874
1822.3390;29.432;;;;;0,416;29,966
1822.3392;29.061;;;;;0,417;29,838
1822.3394;28.656;;;;;0,418;29,905
1822.3396;29.547;;;;;0,419;29,885
1822.3398;28.635;;;;;0,42;29,892
1822.3400;29.034;;;;;0,421;29,878
1822.3402;28.665;;;;;0,422;29,906
1822.3404;29.521;;;;;0,423;29,849
1822.3406;28.659;;;;;0,424;29,925
1822.3408;29.411;;;;;0,425;29,771
1822.3410;28.97;;;;;0,426;29,879
1822.3412;28.74;;;;;0,427;29,862
1822.3414;29.546;;;;;0,428;29,924
1822.3416;28.7;;;;;0,429;29,95
1822.3418;29.416;;;;;0,43;29,942
1822.3420;29.028;;;;;0,431;29,927
1822.3422;28.68;;;;;0,432;29,924
1822.3424;29.551;;;;;0,433;29,94
1822.3426;28.712;;;;;0,434;29,907
1822.3428;29.467;;;;;0,435;29,934
1822.3430;29.07;;;;;0,436;29,928
1822.3432;28.75;;;;;0,437;29,887
1822.3434;29.586;;;;;0,438;29,895
1822.3436;28.757;;;;;0,439;29,84
1822.3438;29.533;;;;;0,44;29,908
1822.3440;28.879;;;;;0,441;29,844
1822.3442;28.658;;;;;0,442;29,896
1822.3444;29.56;;;;;0,443;29,945
1822.3446;28.69;;;;;0,444;29,933
1822.3448;29.479;;;;;0,445;29,918
1822.3450;29.02;;;;;0,446;29,864
1822.3452;28.733;;;;;0,447;29,839
1822.3454;29.635;;;;;0,448;29,916
1822.3456;28.749;;;;;0,449;29,945
1822.3458;29.521;;;;;0,45;29,965
1822.3460;29;;;;;0,451;29,886
1822.3462;28.703;;;;;0,452;29,953
1822.3464;29.544;;;;;0,453;29,954
1822.3466;28.73;;;;;0,454;29,887
1822.3468;29.515;;;;;0,455;29,874
1822.3470;28.974;;;;;0,456;29,847
1822.3472;28.79;;;;;0,457;29,836
1822.3474;29.576;;;;;0,458;29,936
1822.3476;28.715;;;;;0,459;29,976
1822.3478;29.533;;;;;0,46;29,9
1822.3480;28.971;;;;;0,461;29,919
1822.3482;28.799;;;;;0,462;29,924
1822.3484;29.55;;;;;0,463;29,968
1822.3486;28.689;;;;;0,464;29,942
1822.3488;29.608;;;;;0,465;29,921
1822.3490;28.932;;;;;0,466;29,996
1822.3492;28.698;;;;;0,467;29,897
1822.3494;29.541;;;;;0,468;29,923
1822.3496;28.64;;;;;0,469;29,948
1822.3498;29.57;;;;;0,47;29,864
1822.3500;29.046;;;;;0,471;29,897
1822.3502;28.711;;;;;0,472;29,894
1822.3504;29.599;;;;;0,473;29,875
1822.3506;28.742;;;;;0,474;29,925
1822.3508;29.617;;;;;0,475;29,919
1822.3510;28.917;;;;;0,476;29,924
1822.3512;28.701;;;;;0,477;29,951
1822.3514;29.475;;;;;0,478;34,218
1822.3516;28.724;;;;;0,479;30,068
1822.3518;29.616;;;;;0,48;29,925
1822.3520;28.838;;;;;0,481;29,913
1822.3522;28.787;;;;;0,482;29,943
1822.3524;29.545;;;;;0,483;29,881
1822.3526;28.76;;;;;0,484;29,918
1822.3528;29.63;;;;;0,485;29,933
1822.3530;28.854;;;;;0,486;29,92
1822.3532;28.746;;;;;0,487;29,965
1822.3534;29.614;;;;;0,488;29,847
1822.3536;28.761;;;;;0,489;29,929
1822.3538;29.657;;;;;0,49;29,935
1822.3540;28.874;;;;;0,491;29,902
1822.3542;28.697;;;;;0,492;29,975
1822.3544;29.558;;;;;0,493;29,897
1822.3546;28.715;;;;;0,494;29,951
1822.3548;29.625;;;;;0,495;29,887
1822.3550;28.967;;;;;0,496;29,804
1822.3552;28.679;;;;;0,497;29,894
1822.3554;29.567;;;;;0,498;29,9
1822.3556;28.758;;;;;0,499;29,812
1822.3558;29.642;;;;;0,5;29,915
1822.3560;28.919;;;;;0,501;29,867
1822.3562;28.725;;;;;0,502;29,711
1822.3564;29.489;;;;;0,503;29,939
1822.3566;28.652;;;;;0,504;29,867
1822.3568;29.654;;;;;0,505;29,886
1822.3570;28.867;;;;;0,506;29,927
1822.3572;28.688;;;;;0,507;29,887
1822.3574;29.618;;;;;0,508;29,983
1822.3576;28.749;;;;;0,509;29,934
1822.3578;29.732;;;;;0,51;29,879
1822.3580;28.976;;;;;0,511;29,445
1822.3582;28.799;;;;;0,512;29,948
1822.3584;29.534;;;;;0,513;29,918
1822.3586;28.739;;;;;0,514;29,921
1822.3588;29.703;;;;;0,515;29,873
1822.3590;28.943;;;;;0,516;29,864
1822.3592;28.706;;;;;0,517;29,828
1822.3594;29.526;;;;;0,518;29,891
1822.3596;28.742;;;;;0,519;29,868
1822.3598;29.674;;;;;0,52;29,884
1822.3600;28.882;;;;;0,521;29,872
1822.3602;28.73;;;;;0,522;29,903
1822.3604;29.495;;;;;0,523;29,875
1822.3606;33.153;;;;;0,524;29,901
1822.3608;30.631;;;;;0,525;29,923
1822.3610;29.522;;;;;0,526;29,885
1822.3612;29.358;;;;;0,527;29,906
1822.3614;30.161;;;;;0,528;29,885
1822.3616;29.307;;;;;0,529;29,927
1822.3618;29.783;;;;;0,53;29,943
1822.3620;28.841;;;;;0,531;29,877
1822.3622;28.673;;;;;0,532;29,867
1822.3624;29.569;;;;;0,533;29,932
1822.3626;28.748;;;;;0,534;29,765
1822.3628;29.698;;;;;0,535;29,836
1822.3630;28.843;;;;;0,536;29,861
1822.3632;28.819;;;;;0,537;29,896
1822.3634;29.572;;;;;0,538;29,909
1822.3636;28.728;;;;;0,539;29,858
1822.3638;29.759;;;;;0,54;29,875
1822.3640;28.877;;;;;0,541;29,879
1822.3642;28.757;;;;;0,542;29,906
1822.3644;29.583;;;;;0,543;29,877
1822.3646;28.712;;;;;0,544;29,883
1822.3648;29.722;;;;;0,545;29,882
1822.3650;28.905;;;;;0,546;29,873
1822.3652;28.733;;;;;0,547;29,861
1822.3654;29.539;;;;;0,548;29,877
1822.3656;28.767;;;;;0,549;29,857
1822.3658;29.764;;;;;0,55;29,88
1822.3660;28.771;;;;;0,551;29,881
1822.3662;28.796;;;;;0,552;29,91
1822.3664;29.544;;;;;0,553;29,849
1822.3666;28.661;;;;;0,554;29,917
1822.3668;29.728;;;;;0,555;29,906
1822.3670;28.824;;;;;0,556;29,878
1822.3672;28.629;;;;;0,557;29,776
1822.3674;29.54;;;;;0,558;29,792
1822.3676;28.662;;;;;0,559;29,815
1822.3678;29.759;;;;;0,56;29,794
1822.3680;28.781;;;;;0,561;29,784
1822.3682;28.688;;;;;0,562;29,747
1822.3684;29.518;;;;;0,563;29,75
1822.3686;28.687;;;;;0,564;29,812
1822.3688;29.719;;;;;0,565;29,795
1822.3690;28.873;;;;;0,566;29,77
1822.3692;28.655;;;;;0,567;29,723
1822.3694;29.544;;;;;0,568;29,634
1822.3696;28.663;;;;;0,569;29,641
1822.3698;29.777;;;;;0,57;29,678
1822.3700;28.81;;;;;0,571;29,56
1822.3702;28.613;;;;;0,572;29,57
1822.3704;29.503;;;;;0,573;29,543
1822.3706;28.667;;;;;0,574;29,53
1822.3708;29.744;;;;;0,575;29,515
1822.3710;28.802;;;;;0,576;29,545
1822.3712;28.689;;;;;0,577;29,656
1822.3714;29.529;;;;;0,578;29,548
1822.3716;28.708;;;;;0,579;29,557
1822.3718;29.735;;;;;0,58;29,53
1822.3720;28.797;;;;;0,581;29,483
1822.3722;28.708;;;;;0,582;29,512
1822.3724;29.446;;;;;0,583;29,535
1822.3726;28.718;;;;;0,584;29,557
1822.3728;29.738;;;;;0,585;29,563
1822.3730;28.748;;;;;0,586;29,549
1822.3732;28.667;;;;;0,587;29,566
1822.3734;29.536;;;;;0,588;29,586
1822.3736;28.688;;;;;0,589;29,474
1822.3738;29.766;;;;;0,59;29,524
1822.3740;28.746;;;;;0,591;29,488
1822.3742;28.728;;;;;0,592;29,559
1822.3744;29.518;;;;;0,593;29,566
1822.3746;28.736;;;;;0,594;29,563
1822.3748;29.75;;;;;0,595;29,546
1822.3750;28.757;;;;;0,596;29,548
1822.3752;28.667;;;;;0,597;29,555
1822.3754;29.5;;;;;0,598;29,515
1822.3756;28.707;;;;;0,599;29,554
1822.3758;29.763;;;;;0,6;29,495
1822.3760;28.775;;;;;0,601;29,599
1822.3762;28.582;;;;;0,602;29,52
1822.3764;29.562;;;;;0,603;29,597
1822.3766;28.713;;;;;0,604;29,524
1822.3768;29.756;;;;;0,605;29,539
1822.3770;28.809;;;;;0,606;29,652
1822.3772;28.694;;;;;0,607;29,566
1822.3774;29.47;;;;;0,608;29,605
1822.3776;28.671;;;;;0,609;29,563
1822.3778;29.763;;;;;0,61;29,578
1822.3780;28.819;;;;;0,611;29,572
1822.3782;28.671;;;;;0,612;29,674
1822.3784;29.538;;;;;0,613;29,63
1822.3786;28.665;;;;;0,614;29,599
1822.3788;29.777;;;;;0,615;29,639
1822.3790;28.713;;;;;0,616;29,698
1822.3792;28.752;;;;;0,617;29,679
1822.3794;29.582;;;;;0,618;29,743
1822.3796;28.631;;;;;0,619;29,768
1822.3798;29.861;;;;;0,62;29,647
1822.3800;28.718;;;;;0,621;29,716
1822.3802;28.649;;;;;0,622;29,736
1822.3804;29.511;;;;;0,623;29,747
1822.3806;28.684;;;;;0,624;29,758
1822.3808;29.741;;;;;0,625;29,748
1822.3810;28.725;;;;;0,626;29,794
1822.3812;28.707;;;;;0,627;29,708
1822.3814;29.525;;;;;0,628;29,738
1822.3816;28.725;;;;;0,629;29,737
1822.3818;29.841;;;;;0,63;29,752
