Time (s),USB Avg Current (mA)
1995.9534,29.279
1995.9536,28.891
1995.9538,28.703
1995.9540,29.804
1995.9542,28.757
1995.9544,29.343
1995.9546,28.881
1995.9548,28.678
1995.9550,29.873
1995.9552,28.714
1995.9554,29.382
1995.9556,28.839
1995.9558,28.593
1995.9560,29.796
1995.9562,28.628
1995.9564,29.289
1995.9566,28.781
1995.9568,28.687
1995.9570,29.817
1995.9572,28.756
1995.9574,29.298
1995.9576,28.838
1995.9578,28.741
1995.9580,29.791
1995.9582,28.689
1995.9584,29.316
1995.9586,28.787
1995.9588,28.698
1995.9590,29.82
1995.9592,28.667
1995.9594,29.307
1995.9596,28.767
1995.9598,28.576
1995.9600,29.98
1995.9602,28.703
1995.9604,29.403
1995.9606,28.796
1995.9608,28.642
1995.9610,29.872
1995.9612,28.65
1995.9614,29.385
1995.9616,28.68
1995.9618,28.648
1995.9620,29.89
1995.9622,28.59
1995.9624,29.331
1995.9626,28.798
1995.9628,28.692
1995.9630,29.874
1995.9632,28.674
1995.9634,29.334
1995.9636,28.833
1995.9638,28.655
1995.9640,29.832
1995.9642,28.753
1995.9644,29.339
1995.9646,28.767
1995.9648,28.647
1995.9650,29.773
1995.9652,28.779
1995.9654,29.388
1995.9656,28.863
1995.9658,28.712
1995.9660,29.813
1995.9662,28.675
1995.9664,29.421
1995.9666,28.83
1995.9668,28.7
1995.9670,29.7
1995.9672,28.756
1995.9674,29.363
1995.9676,28.753
1995.9678,28.686
1995.9680,29.874
1995.9682,28.743
1995.9684,29.4
1995.9686,28.77
1995.9688,28.749
1995.9690,29.835
1995.9692,28.623
1995.9694,29.379
1995.9696,28.726
1995.9698,28.635
1995.9700,29.884
1995.9702,28.584
1995.9704,29.354
1995.9706,28.794
1995.9708,28.67
1995.9710,29.793
1995.9712,28.71
1995.9714,29.412
1995.9716,28.735
1995.9718,28.719
1995.9720,29.828
1995.9722,28.581
1995.9724,29.445
1995.9726,28.722
1995.9728,28.606
1995.9730,29.889
1995.9732,28.654
1995.9734,29.38
1995.9736,28.528
1995.9738,28.832
1995.9740,29.8
1995.9742,28.614
1995.9744,29.355
1995.9746,28.764
1995.9748,28.727
1995.9750,29.814
1995.9752,28.643
1995.9754,29.367
1995.9756,28.782
1995.9758,28.572
1995.9760,29.865
1995.9762,28.608
1995.9764,29.448
1995.9766,28.77
1995.9768,28.596
1995.9770,29.871
1995.9772,28.626
1995.9774,29.442
1995.9776,28.681
1995.9778,28.643
1995.9780,29.83
1995.9782,28.683
1995.9784,29.371
1995.9786,28.653
1995.9788,28.663
1995.9790,29.818
1995.9792,28.646
1995.9794,29.454
1995.9796,28.69
1995.9798,28.624
1995.9800,29.853
1995.9802,28.673
1995.9804,29.405
1995.9806,28.747
1995.9808,28.678
1995.9810,28.648
1995.9812,29.408
1995.9814,28.737
1995.9816,28.696
1995.9818,29.878
1995.9820,28.589
1995.9822,29.406
1995.9824,28.741
1995.9826,28.656
1995.9828,29.889
1995.9830,28.704
1995.9832,29.452
1995.9834,28.62
1995.9836,28.694
1995.9838,29.814
1995.9840,28.668
1995.9842,29.43
1995.9844,28.748
1995.9846,28.624
1995.9848,29.925
1995.9850,28.7
1995.9852,29.472
1995.9854,28.716
1995.9856,28.714
1995.9858,29.805
1995.9860,28.68
1995.9862,29.432
1995.9864,28.668
1995.9866,28.707
1995.9868,29.886
1995.9870,28.69
1995.9872,29.478
1995.9874,28.687
1995.9876,28.569
1995.9878,29.829
1995.9880,28.662
1995.9882,29.385
1995.9884,28.718
1995.9886,28.636
1995.9888,29.859
1995.9890,28.653
1995.9892,29.472
1995.9894,28.735
1995.9896,28.734
1995.9898,29.851
1995.9900,28.728
1995.9902,29.511
1995.9904,28.764
1995.9906,28.685
1995.9908,29.85
1995.9910,28.722
1995.9912,29.482
1995.9914,28.668
1995.9916,28.674
1995.9918,29.841
1995.9920,28.678
1995.9922,29.477
1995.9924,28.711
1995.9926,28.68
1995.9928,29.845
1995.9930,28.648
1995.9932,29.448
1995.9934,28.758
1995.9936,28.659
1995.9938,29.82
1995.9940,28.72
1995.9942,29.358
1995.9944,28.722
1995.9946,28.701
1995.9948,29.833
1995.9950,28.694
1995.9952,29.503
1995.9954,28.726
1995.9956,28.737
1995.9958,29.848
1995.9960,28.677
1995.9962,29.453
1995.9964,28.706
1995.9966,29.902
1995.9968,28.752
1995.9970,29.525
1995.9972,28.726
1995.9974,28.702
1995.9976,29.918
1995.9978,28.711
1995.9980,29.507
1995.9982,28.705
1995.9984,28.74
1995.9986,29.931
1995.9988,28.708
1995.9990,29.538
1995.9992,28.657
1995.9994,28.653
1995.9996,29.861
1995.9998,28.785
1996.0000,29.502
1996.0002,28.779
1996.0004,28.73
1996.0006,29.937
1996.0008,28.724
1996.0010,29.498
1996.0012,28.84
1996.0014,28.675
1996.0016,29.886
1996.0018,28.768
1996.0020,29.508
1996.0022,28.767
1996.0024,28.691
1996.0026,29.853
1996.0028,28.644
1996.0030,29.484
